# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[4,2**10], nbound=[2**8,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/02.dat')
13 269 (8, 134) 18.884 0 2.132 9.268 1.532 1.39866666667 0.980000000001 2.90533333333
13 271 (2, 18) 1.012 0.438666666666 2.06 1.25466666667 0.264 0.205333333334 0.149333333332 2.13466666667
13 277 (1, 46) 0.0799999999993 0 2.18266666667 3.36 0.599999999999 0.477333333334 0.346666666667 2.424
13 281 (1, 280) 0.0906666666657 0 2.21466666667 12.772 2.89466666667 2.84 1.808 3.47066666667
13 283 (3, 141) 2.508 0 2.38266666666 11.2586666667 1.8 1.65866666667 1.15466666667 3.36
13 289 (12, 68) 56.3826666667 0 4.68666666667 5.45466666667 0.697333333335 0.690666666667 0.494666666666 2.83066666667
13 293 (2, 292) 1.192 0.485333333333 2.39866666667 14.7826666667 3.27866666667 3.13866666667 1.97866666667 3.176
13 307 (4, 306) 5.388 0 5.42266666667 31.34 3.92533333334 3.65333333333 2.37333333333 5.068
13 311 (6, 31) 13.788 0 3.22533333334 3.232 0.578666666666 0.457333333334 0.313333333334 3.124
13 313 (6, 156) 13.8066666667 0 3.01466666667 16.2946666667 2.32666666667 2.13333333333 1.45866666667 4.34133333333
13 317 (6, 316) 14.9493333333 0 5.72266666667 35.8613333333 4.66533333334 4.20533333333 2.78133333333 5.64666666667
13 331 (6, 66) 15.5946666667 0 2.848 7.89333333333 1.14933333333 0.908000000001 0.650666666666 3.91066666667
13 337 (5, 21) 10.9853333333 0 3.076 2.59066666667 0.437333333333 0.308 0.228 3.64533333333
13 343 (4, 98) 6.87466666667 0 6.164 12.6773333333 1.25333333333 1.27733333333 0.894666666667 4.45333333333
13 347 (3, 173) 3.83866666667 0 3.60933333333 24.152 3.25333333333 3.00533333333 2.068 5.73866666667
13 349 (2, 348) 1.736 0.998666666666 3.50666666667 50.964 5.73066666667 5.136 3.46 7.07733333333
13 353 (7, 352) 26.1133333333 0 0 52.0906666667 5.57466666667 4.71733333333 3.15333333333 6.91866666666
13 359 (1, 358) 0.137333333337 0 4.596 31.2906666667 5.87333333333 5.39333333333 3.608 6.06666666667
13 361 (18, 342) 234.232 0 0 52.704 5.364 6.392 4.624 8.47333333333
13 367 (2, 183) 1.84 0.833333333333 3.49733333333 30.0653333333 3.832 3.62 2.41333333333 6.70133333333
13 373 (4, 62) 8.324 0 8.48666666667 10.728 1.44933333334 1.12 0.814666666665 5.36533333333
13 379 (6, 378) 21.4373333333 0 7.86533333333 69.644 7.224 6.54666666667 4.32533333333 8.84533333333
13 383 (4, 382) 9.01466666667 0 6.54933333333 73.2053333333 7.448 6.90133333333 4.432 9.212
13 389 (3, 97) 5.15466666667 0 11.304 18.1093333333 2.13333333333 1.584 1.16666666667 6.256
13 397 (3, 396) 5.09333333333 0 4.04533333333 81.5266666667 7.76933333333 6.588 4.45333333333 9.76133333333
13 401 (8, 400) 46.996 0 4.48933333333 83.8 7.89733333333 6.38666666667 4.41066666667 9.772
13 409 (1, 136) 0.186666666668 0 4.28133333333 29.3626666667 3.29466666667 2.71066666667 1.93066666667 7.69866666667
13 419 (2, 11) 2.45466666666 1.02533333333 4.96533333333 1.41733333333 0.418666666667 0.248 0.169333333334 4.272
13 421 (5, 20) 18.196 0 9.696 4.51866666667 0.704 0.452 0.32 6.528
13 431 (2, 430) 2.588 1.28666666666 5.01066666667 62.4746666667 9.62 8.69333333333 5.67066666667 10.3693333333
13 433 (2, 216) 2.59733333333 1.25466666667 5.22933333333 55.26 5.64933333333 5.044 3.34133333333 10.0386666667
13 439 (1, 219) 0.224 0 10.5786666667 58.7786666667 6.02 5.688 3.61066666667 10.44
13 443 (1, 17) 0.213333333333 0 4.80133333333 2.79066666667 0.670666666667 0.450666666666 0.314666666668 4.188
13 449 (8, 448) 60.8426666667 0 5.74666666666 128.694666667 10.3093333333 8.03466666667 5.38933333334 12.6986666667
13 457 (1, 456) 0.277333333334 0 5.996 145.392 10.96 8.90666666667 5.86933333333 13.416
13 461 (6, 92) 33.72 0 5.79866666667 29.1786666667 2.94133333333 2.21866666667 1.572 9.70933333333
13 463 (12, 42) 166.74 0 13.2133333333 13.44 1.55466666667 1.09466666667 0.776 8.79866666667
13 467 (2, 233) 3.048 1.30533333333 6.17466666667 78.36 6.86133333333 6.144 4.00133333333 12.3746666667
13 479 (8, 478) 70.372 0 5.85333333333 178.586666667 13.3813333333 11.792 7.58133333333 16.7893333333
13 487 (1, 486) 0.277333333334 0 6.52666666666 188.3 13.968 11.768 7.568 16.7146666667
13 491 (2, 245) 3.37733333334 1.50933333333 6.72133333333 47.9333333333 7.79733333333 7.108 4.57333333333 11.0013333333
13 499 (4, 166) 15.9946666667 0 7.32133333333 66.792 5.97733333333 4.94 3.396 13.4266666667
13 503 (1, 251) 0.318666666666 0 7.496 104.390666667 9.00933333334 8.21466666667 5.19333333333 15.7053333333
13 509 (2, 508) 3.652 1.94666666667 7.79733333333 116.430666667 15.3013333333 13.7106666667 8.564 15.4093333333
17 257 (1, 32) 0.0853333333313 0 2.63066666667 2.06666666667 0.404 0.314666666668 0.237333333333 2.132
17 263 (3, 131) 2.33466666667 0 2.092 9.12666666667 1.46666666667 1.348 0.947999999999 2.92666666667
17 269 (8, 268) 21.0786666667 0 6.204 20.4026666667 2.82666666667 2.72933333333 1.784 3.928
17 271 (6, 135) 11.0706666667 0 4.70266666666 10.2866666667 1.624 1.54533333333 1.07866666667 3.32666666667
17 277 (2, 276) 1.168 0.567999999999 2.24666666667 22.9293333333 3.084 2.95866666667 1.94133333333 4.136
17 281 (1, 140) 0.114666666666 0 0 6.25866666667 1.708 1.63466666666 1.20666666667 2.89066666667
17 283 (1, 282) 0.103999999999 0 5.27066666667 25.1066666667 3.26266666667 3.244 2.052 4.42533333333
17 293 (1, 73) 0.108 0 4.96533333333 3.53866666667 1.06133333333 0.863999999999 0.613333333335 2.20133333333
17 307 (4, 3) 5.93466666667 0 5.14933333333 0.313333333334 0.0919999999993 0.0679999999993 0.0493333333337 3.09866666667
17 311 (2, 310) 1.42666666667 0.794666666666 2.904 35.5586666667 4.42666666667 4.13066666667 2.82266666667 5.82533333333
17 313 (3, 312) 3.332 0 2.844 36.0733333333 4.428 4.02666666666 2.78666666667 5.884
17 317 (13, 316) 94.1466666667 0 2.87866666667 38.0813333333 4.66933333333 4.41733333333 2.98666666666 6.15333333333
17 331 (3, 165) 3.83333333334 0 7.04666666666 21.8013333333 2.94133333333 2.66933333333 1.86266666667 5.43733333333
17 337 (10, 112) 57.0066666667 0 5.98266666667 15.4413333333 2.04933333333 1.71466666667 1.296 5.052
17 343 (2, 294) 1.72133333333 0.808 3.38133333333 42.1626666667 4.816 6.23866666667 4.19733333333 8.04666666667
17 347 (1, 346) 0.158666666667 0 3.54 53.268 5.776 5.28533333333 3.53733333333 7.50266666667
17 349 (10, 58) 62.7626666667 0 6.56933333333 8.59733333333 1.21466666667 0.988 0.716 4.892
17 353 (7, 88) 28.724 0 3.84 13.3493333333 1.73066666667 1.368 1.02533333333 5.41466666667
17 359 (2, 179) 1.85733333333 1.05866666667 3.85066666667 15.2666666667 3.57733333333 3.408 2.348 4.26666666667
17 361 (9, 171) 53.36 0 4.112 27.4426666667 2.636 2.97066666667 2.092 6.64266666667
17 367 (2, 366) 2.06666666667 0.941333333334 4.09066666667 65.7706666667 6.91866666667 6.34933333333 4.27466666667 8.93866666667
17 373 (4, 62) 9.124 0 4.01466666667 11.0026666667 1.49866666667 1.16933333333 0.845333333333 5.91333333333
17 379 (12, 378) 117.110666667 0 8.096 74.0013333333 7.452 6.80266666667 4.54666666667 9.676
17 383 (4, 191) 9.87066666667 0 4.24533333333 38.54 4.744 4.69466666667 3.09466666667 8.49333333333
17 389 (1, 97) 0.228 0 5.108 19.3986666667 2.16266666667 1.64933333333 1.21066666667 6.84533333333
17 397 (6, 132) 26.3213333333 0 5.524 27.872 3.244 2.668 1.94133333333 7.968
17 401 (4, 400) 10.8413333333 0 5.316 88.904 7.87866666667 6.43066666667 4.41866666666 10.3986666667
17 409 (4, 51) 11.1786666667 0 4.86666666667 11.5266666667 1.39866666667 1.08533333334 0.723999999997 7.28
17 419 (2, 418) 2.628 1.22666666667 5.08 56.48 9.116 7.844 5.352 10.204
17 421 (10, 210) 97.6626666667 0 9.47066666667 52.6493333333 5.46133333333 4.868 3.24 10.148
17 431 (1, 430) 0.257333333332 0 9.83333333333 64.5213333333 10.0693333333 9.20533333333 6.01333333333 10.9613333333
17 433 (1, 27) 0.261333333333 0 10.9933333333 7.144 0.952 0.653333333333 0.480000000001 8.25733333333
17 439 (10, 438) 106.816 0 6.94933333333 127.912 10.7213333333 9.47866666667 6.19066666667 13.9533333333
17 443 (2, 221) 2.93066666667 1.50533333333 6.02 34.0866666667 6.29466666667 5.93066666667 3.88933333333 9.41466666667
17 449 (8, 448) 67.116 0 11.864 136.396 10.6093333333 8.45866666667 5.74666666667 13.9946666667
17 457 (15, 38) 292.228 0 8.91466666667 11.6693333333 1.4 0.954666666667 0.685333333332 9.43733333333
17 461 (1, 230) 0.305333333332 0 8.96666666667 74.2613333333 7.16 6.43866666667 4.31733333333 13.24
17 463 (6, 231) 37.3853333333 0 6.844 75.7293333333 7.32 6.672 4.44133333333 13.4333333333
17 467 (1, 233) 0.310666666667 0 11.4533333333 77.8746666667 7.30666666667 6.51066666667 4.32 13.532
17 479 (2, 478) 3.51733333333 2.248 7.048 178.190666667 14.1853333333 12.7066666667 8.264 17.9346666667
17 487 (4, 486) 16.464 0 12.3506666667 188.973333333 14.7026666667 12.5053333333 8.084 18.3026666667
17 491 (2, 49) 3.628 1.94 6.91733333334 9.35333333333 1.872 1.348 0.918666666665 6.95733333333
17 499 (1, 498) 0.364000000001 0 8.89866666667 205.668 15.2626666667 13.1106666667 8.51333333333 19.4253333333
17 503 (6, 502) 45.5506666667 0 7.488 213.154666667 15.9133333333 14.06 9.03866666666 20.172
17 509 (1, 127) 0.365333333335 0 17.5533333333 28.236 4.97733333333 3.948 2.8 11.0773333333
19 257 (6, 256) 10.1026666667 0 3.72266666667 16.844 2.36133333333 2.11466666667 1.456 3.19066666667
19 263 (3, 262) 2.368 0 5.412 18.7826666667 2.70933333333 2.61066666667 1.73866666667 3.63333333333
19 269 (4, 268) 4.67333333333 0 4.45066666667 20.4146666667 2.896 2.752 1.82533333333 3.85466666667
19 271 (3, 30) 2.54533333333 0 2.688 2.272 0.447999999999 0.344000000002 0.253333333332 2.488
19 277 (1, 23) 0.0986666666674 0 2.22533333333 1.81866666667 0.354666666666 0.270666666668 0.19733333333 2.472
19 281 (1, 280) 0.100000000001 0 2.36266666667 13.088 3.16266666667 3.08133333334 2.04133333333 3.59066666667
19 283 (3, 94) 2.816 0 4.952 7.968 1.27333333333 1.10266666667 0.805333333332 3.268
19 289 (6, 136) 13.336 0 6.53333333334 11.972 1.37733333333 1.49066666666 1.072 3.62
19 293 (2, 292) 1.29333333333 0.560000000003 2.41333333333 15.4786666667 3.41333333334 3.29066666667 2.124 3.36
19 307 (4, 51) 6.11066666666 0 2.76266666667 5.54933333334 0.881333333333 0.714666666667 0.518666666666 3.65066666667
