# ./benchmagma.sh m09 5 2**9 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**9], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m09.dat')"
457 1033 (4, 129) 409.967888117
457 1039 (4, 1038) 414.443376064
457 1049 (2, 1048) 86.3649690151
457 1051 (12, 1050) 4669.77032804
461 1031 (2, 515) 83.2596700191
461 1033 (2, 516) 83.7996778488
461 1039 (4, 346) 414.359493017
461 1049 (2, 8) 86.3890049458
461 1051 (6, 1050) 1026.83358383
463 1031 (2, 515) 83.1749129295
463 1033 (4, 344) 408.221926928
463 1039 (1, 1038) 17.2373168468
463 1049 (2, 524) 86.5635290146
463 1051 (12, 175) 3707.60043693
467 1031 (1, 1030) 16.2143979073
467 1033 (4, 1032) 411.451042891
467 1039 (1, 519) 17.2269108295
467 1049 (1, 1048) 17.4739179611
467 1051 (6, 210) 1024.56264091
479 1031 (2, 206) 83.6169219017
479 1033 (4, 43) 411.742830992
479 1039 (4, 346) 418.944310904
479 1049 (2, 1048) 87.3338699341
479 1051 (12, 175) 4757.75358415
487 1031 (2, 103) 84.0915689468
487 1033 (1, 1032) 17.607945919
487 1039 (1, 1038) 17.7335350513
487 1049 (1, 1048) 17.9285290241
487 1051 (12, 210) 4753.60458899
491 1031 (2, 1030) 84.1932108402
491 1033 (1, 86) 17.6727230549
491 1039 (1, 519) 17.9892311096
491 1049 (2, 1048) 88.6634640694
491 1051 (4, 7) 432.69205904
499 1031 (2, 1030) 85.1459619999
499 1033 (4, 344) 416.349420071
499 1039 (1, 519) 18.0403621197
499 1049 (2, 524) 88.5584759712
499 1051 (4, 175) 433.183220148
503 1031 (1, 1030) 17.1869530678
503 1033 (4, 516) 418.646397114
503 1039 (4, 1038) 421.86324501
503 1049 (1, 262) 18.1594090462
503 1051 (12, 525) 4786.57827902
509 1031 (2, 1030) 84.0881910324
509 1033 (4, 1032) 418.235639095
509 1039 (1, 519) 17.3167040348
509 1049 (2, 1048) 88.3422660828
509 1051 (4, 1050) 432.235472918
