# ./benchmagma.sh m02 2**9 2**10 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**9,2**10], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m02.dat')"
563 89 (2, 88) 0.317281405131
563 97 (4, 32) 2.37475935618
563 101 (2, 25) 0.494295279185
563 103 (3, 102) 1.31574304899
563 107 (1, 106) 0.126231988271
563 109 (10, 108) 26.0514043967
563 113 (1, 28) 0.127532323201
563 121 (1, 110) 0.140694379807
563 125 (2, 100) 0.78658858935
563 127 (1, 126) 0.140739123027
563 131 (1, 13) 0.168240706126
563 137 (3, 34) 2.48320023219
563 139 (1, 69) 0.190287987391
563 149 (2, 74) 1.08003568649
563 151 (6, 25) 17.7464906375
563 157 (10, 52) 59.559081316
563 163 (2, 81) 1.55398408572
563 167 (7, 83) 30.3808457057
563 169 (4, 78) 8.96506357193
563 173 (2, 172) 1.93200763067
563 179 (1, 178) 0.279512961706
563 181 (1, 90) 0.360502004623
563 191 (2, 190) 2.1380695502
563 193 (1, 24) 0.481196641922
563 197 (18, 98) 336.041801453
563 199 (4, 99) 12.6680880388
563 211 (5, 210) 24.198578914
563 223 (6, 222) 45.6355593204
563 227 (24, 113) 912.745249987
563 229 (6, 228) 48.4277006785
563 233 (2, 8) 3.26028490067
563 239 (1, 119) 0.633671998978
563 241 (6, 30) 56.9970932802
563 243 (1, 162) 0.479959090551
563 251 (2, 250) 2.87283158302
569 5 (2, 2) 0.0244274139404
569 7 (4, 3) 0.0325833956401
569 9 (2, 6) 0.164879957835
569 11 (2, 10) 0.0341629981995
569 13 (4, 6) 0.0705902576447
569 17 (6, 8) 0.138816595078
569 19 (10, 2) 0.426952441533
569 23 (2, 22) 0.0564142862956
569 25 (2, 10) 0.0678505897522
569 27 (2, 18) 0.12437860171
569 29 (2, 28) 0.080841700236
569 31 (10, 30) 1.45392568906
569 37 (4, 12) 0.274751027425
569 41 (2, 20) 0.0841107368469
569 43 (4, 21) 0.382169087728
569 47 (6, 46) 1.26575668653
569 49 (1, 3) 0.039687315623
569 53 (1, 52) 0.0388464132945
569 59 (6, 58) 2.06933935483
569 61 (3, 5) 0.410174290339
569 67 (4, 33) 1.05951905251
569 71 (2, 1) 0.215452114741
569 73 (2, 72) 0.243488629659
569 79 (2, 39) 0.301314353943
569 81 (2, 54) 0.342801650365
569 83 (2, 82) 0.291038751602
569 89 (2, 88) 0.354399998983
569 97 (1, 96) 0.0974509716034
569 101 (6, 50) 7.7097577254
569 103 (1, 102) 0.10750802358
569 107 (6, 53) 7.87879395485
569 109 (10, 108) 25.2575732072
569 113 (2, 14) 0.79688501358
569 121 (1, 110) 0.161187728246
569 125 (1, 50) 0.171291987101
569 127 (4, 21) 4.10886136691
569 131 (1, 13) 0.154372374217
569 137 (3, 136) 3.69666234652
569 139 (4, 69) 6.37285494804
569 149 (8, 148) 40.8344724178
569 151 (3, 75) 3.09173862139
569 157 (5, 52) 12.2186942101
569 163 (4, 162) 8.06565864881
569 167 (7, 166) 30.0400760969
569 169 (4, 78) 8.69544068972
569 173 (1, 172) 0.268608649572
569 179 (2, 178) 1.72885934512
569 181 (6, 12) 28.3461650213
569 191 (1, 190) 0.585976044337
569 193 (4, 192) 12.4253873825
569 197 (18, 49) 372.57810986
569 199 (1, 66) 0.419681390127
569 211 (1, 70) 0.486828327179
569 223 (12, 222) 224.679048618
569 227 (12, 226) 208.818509022
569 229 (12, 57) 243.334255377
569 233 (2, 232) 3.52747305234
569 239 (1, 119) 0.604294379552
569 241 (1, 5) 0.614591677984
569 243 (1, 162) 0.614454269409
569 251 (1, 125) 0.646593729655
571 5 (1, 1) 0.0453983147939
571 7 (1, 3) 0.013699054718
571 9 (1, 3) 0.0167332490285
571 11 (2, 2) 0.0362137158712
571 13 (4, 2) 0.0964046319326
571 17 (8, 16) 0.430202325185
571 19 (10, 1) 0.548844019572
571 23 (1, 22) 0.0952919324239
571 25 (4, 5) 0.152069091797
571 27 (1, 9) 0.0233116944631
571 29 (2, 7) 0.093731323878
571 31 (1, 30) 0.0381472905477
571 37 (2, 9) 0.262138287226
571 41 (2, 8) 0.09237464269
571 43 (1, 42) 0.026869614919
571 47 (6, 23) 1.31625541051
571 49 (3, 21) 0.0363866488139
571 53 (1, 52) 0.0427046616872
571 59 (2, 58) 0.359161933263
571 61 (1, 15) 0.0487651030223
571 67 (4, 33) 1.11632823944
571 71 (4, 35) 1.29640261332
571 73 (1, 72) 0.0629025300344
571 79 (2, 13) 0.275653998057
571 81 (2, 27) 0.367437998454
571 83 (2, 82) 0.323457320531
571 89 (2, 8) 0.359751701355
571 97 (4, 48) 2.60533634822
571 101 (2, 100) 0.459115028381
571 103 (3, 3) 1.64386041959
571 107 (1, 53) 0.121192057927
571 109 (5, 27) 5.85141571363
571 113 (2, 112) 0.72997434934
571 121 (3, 22) 2.12151789665
571 125 (1, 25) 0.853375991186
571 127 (1, 14) 0.178044319153
571 131 (2, 26) 1.03907704353
571 137 (3, 136) 3.05161762238
571 139 (4, 138) 6.66177535057
571 149 (1, 74) 0.174374262492
571 151 (6, 3) 19.0527466138
571 157 (5, 39) 12.5233886242
571 163 (2, 162) 1.63363440832
571 167 (14, 166) 134.981115659
571 169 (1, 26) 0.224952618281
571 173 (1, 43) 0.22962697347
571 179 (2, 178) 1.44101301829
571 181 (3, 180) 3.91373435656
571 191 (2, 190) 1.86714402835
571 193 (1, 32) 0.431279659271
571 197 (18, 28) 291.127586047
571 199 (2, 198) 2.25834862391
571 211 (1, 210) 0.528356393178
571 223 (12, 74) 192.971955697
571 227 (24, 226) 857.795089006
571 229 (12, 228) 197.200735966
571 233 (2, 58) 3.60526545842
571 239 (1, 119) 0.64896941185
571 241 (6, 48) 52.4369119803
571 243 (1, 81) 124.877086798
571 251 (2, 25) 3.97494896253
577 5 (1, 4) 0.0160462856293
577 7 (4, 6) 0.0483070214589
577 9 (4, 1) 0.0524740219116
577 11 (1, 5) 0.0177159309387
577 13 (1, 4) 0.0208690166473
577 17 (6, 2) 0.197290976842
577 19 (5, 3) 0.166622082392
577 23 (2, 11) 0.0964509646098
577 25 (4, 20) 0.160380681356
577 27 (2, 3) 0.119403680166
577 29 (1, 28) 0.021763642629
577 31 (10, 15) 1.40580058098
577 37 (2, 36) 0.141543944677
577 41 (2, 8) 0.0826590061188
577 43 (4, 42) 0.371638377508
577 47 (3, 46) 0.255779981613
577 49 (6, 42) 3.65378300349
577 53 (1, 13) 0.0419807434082
577 59 (6, 29) 2.43614498774
577 61 (3, 20) 0.415022611618
577 67 (4, 66) 0.926279703776
577 71 (4, 35) 1.25630895297
577 73 (1, 24) 0.0722293059031
577 79 (2, 6) 0.269525369008
577 81 (1, 9) 0.0765176614126
577 83 (1, 82) 0.0678560733795
577 89 (2, 88) 0.393178621928
577 97 (4, 96) 2.63307269414
577 101 (6, 100) 7.29187138875
577 103 (2, 102) 0.550485054652
577 107 (3, 53) 1.2755493323
577 109 (10, 36) 21.8966417313
577 113 (2, 112) 0.654058933258
577 121 (3, 55) 1.75557367007
577 125 (1, 100) 0.173780679703
577 127 (2, 63) 0.814531962077
577 131 (1, 5) 0.192537625631
577 137 (6, 136) 13.6175522804
577 139 (4, 138) 4.71882073085
577 149 (8, 74) 33.8450550238
577 151 (6, 25) 14.8752175967
577 157 (10, 39) 48.7381335894
577 163 (1, 81) 0.235318024953
577 167 (7, 83) 22.1652063529
577 169 (2, 4) 1.16279093424
577 173 (2, 172) 1.242983977
577 179 (2, 178) 1.31900803248
577 181 (2, 45) 1.38051962852
577 191 (2, 95) 1.95640540123
577 193 (2, 96) 2.35238663356
577 197 (18, 4) 331.792115569
577 199 (4, 198) 11.9753533204
577 211 (10, 210) 100.100402991
577 223 (4, 111) 13.6626950105
577 227 (6, 226) 33.7482750416
577 229 (6, 228) 33.613950491
577 233 (2, 232) 2.48799204826
577 239 (1, 119) 0.471786975861
577 241 (3, 240) 7.006929636
577 243 (4, 27) 14.5255403519
577 251 (2, 125) 2.90243935585
587 5 (1, 4) 0.0171179771423
587 7 (1, 2) 0.0212813218435
587 9 (1, 6) 0.0193643569946
587 11 (1, 5) 0.0208093325297
587 13 (2, 12) 0.0516502857208
587 17 (1, 8) 0.0220204194387
587 19 (2, 9) 0.0792667071025
587 23 (2, 11) 0.0962146917979
587 25 (2, 20) 0.130906581879
587 27 (2, 18) 0.25456293424
587 29 (2, 7) 0.129291375478
587 31 (10, 10) 1.10515594482
587 37 (1, 36) 0.0222770373027
587 41 (2, 40) 0.0685935815175
587 43 (4, 42) 0.309687614441
587 47 (2, 46) 0.0881793498993
587 49 (1, 2) 0.0299715995789
587 53 (1, 26) 0.0314016342163
587 59 (3, 58) 0.313489278158
587 61 (1, 20) 0.0994095802307
587 67 (2, 66) 0.207352002462
587 71 (1, 35) 0.0656260649363
587 73 (6, 12) 3.20810127258
587 79 (4, 78) 1.25327658653
587 81 (2, 54) 38.0934466521
587 83 (2, 82) 0.315304676692
587 89 (2, 44) 0.441317399343
587 97 (4, 96) 2.41366696358
587 101 (3, 50) 1.36012538274
587 103 (3, 17) 1.42801221212
587 107 (3, 53) 1.52028505007
587 109 (5, 108) 5.7492193381
587 113 (1, 56) 0.158832470576
587 121 (5, 55) 10.4230359395
587 125 (1, 100) 0.148983716965
587 127 (4, 63) 4.1870756944
587 131 (1, 13) 0.149709304174
587 137 (6, 68) 14.796087424
587 139 (4, 69) 5.45262734095
587 149 (8, 37) 40.8659096559
587 151 (3, 150) 3.42142597834
587 157 (10, 52) 58.7403419813
587 163 (1, 54) 0.292218605677
587 167 (7, 166) 29.8448754152
587 169 (2, 12) 1.42177565893
587 173 (2, 172) 1.70019324621
587 179 (2, 178) 1.75618894895
587 181 (3, 45) 5.245328029
587 191 (1, 38) 0.376697619756
587 193 (4, 32) 10.5790890058
587 197 (18, 49) 228.944295247
