# ./benchmagma.sh m05 2**30 2**30+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**30,2**30+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m05.dat')"
1073741953 211 (10, 70) 1355.83246803
1073741953 223 (12, 222) 2049.52351093
1073741953 227 (8, 113) 905.01257205
1073741953 229 (3, 228) 105.700002988
1073741953 233 (2, 58) 42.2830096086
1073741953 239 (1, 238) 7.42717766762
1073741953 241 (2, 40) 45.7989736398
1073741953 243 (2, 81) 46.4599436919
1073741953 251 (2, 250) 50.1471412977
1073741969 5 (1, 2) 0.0152093569438
1073741969 7 (2, 2) 0.0376062393188
1073741969 9 (1, 6) 0.0241250197093
1073741969 11 (2, 5) 0.0803829828898
1073741969 13 (6, 1) 1.39557631811
1073741969 17 (3, 16) 0.402034362157
1073741969 19 (5, 9) 1.57493106524
1073741969 23 (2, 22) 0.287434418996
