# ./benchmagma.sh m08 2**60 2**60+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**60,2**60+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m08.dat')"
1152921504606847229 53 (2, 52) 10.3401583036
1152921504606847229 59 (2, 29) 6.38508971532
1152921504606847229 61 (6, 60) 155.112929265
1152921504606847229 67 (1, 66) 1.19655887286
1152921504606847229 71 (8, 10) 259.040763617
1152921504606847229 73 (1, 36) 1.47006336848
1152921504606847229 79 (4, 78) 64.2751580079
1152921504606847229 81 (2, 54) 13.0847229163
1152921504606847229 83 (1, 41) 1.96585130692
1152921504606847229 89 (2, 44) 16.0147029559
1152921504606847229 97 (1, 12) 2.69653932254
1152921504606847229 101 (3, 25) 57.4908610185
1152921504606847229 103 (3, 102) 60.5880103111
1152921504606847229 107 (3, 106) 66.776274999
1152921504606847229 109 (1, 27) 3.53984761238
1152921504606847229 113 (2, 112) 27.2538460096
1152921504606847229 121 (3, 11) 89.1340346336
1152921504606847229 125 (1, 50) 5.59135564168
1152921504606847229 127 (1, 63) 5.1085220178
1152921504606847229 131 (1, 65) 5.50695602099
1152921504606847229 137 (2, 68) 43.2496436437
1152921504606847229 139 (4, 69) 238.738779386
1152921504606847229 149 (2, 37) 52.9658816655
1152921504606847229 151 (3, 75) 153.354257663
1152921504606847229 157 (2, 156) 59.0504130522
1152921504606847229 163 (4, 162) 338.973436952
1152921504606847229 167 (7, 83) 1437.17262983
1152921504606847229 169 (4, 156) 363.880506992
1152921504606847229 173 (2, 86) 74.936035951
1152921504606847229 179 (2, 178) 81.0629299482
1152921504606847229 181 (6, 36) 1201.12125015
1152921504606847229 191 (1, 190) 13.3415843646
1152921504606847229 193 (4, 192) 490.750072479
1152921504606847229 197 (2, 98) 102.766793728
1152921504606847229 199 (4, 18) 533.003483534
1152921504606847229 211 (5, 210) 992.230533123
1152921504606847229 223 (12, 111) 7590.40868115
1152921504606847229 227 (4, 226) 716.066498041
1152921504606847229 229 (6, 76) 1822.11264586
1152921504606847229 233 (1, 232) 21.3459300995
1152921504606847229 239 (1, 119) 22.7594306469
1152921504606847229 241 (3, 48) 436.576544523
1152921504606847229 243 (2, 162) 168.975324074
1152921504606847229 251 (2, 125) 184.691379309
